CitedID,CitingID,Title,SharingAuthor,RetractionMentioned,Citation Text,Citation Section,Class,CitedAlone,NoofTime,Journal/Book,Publication Year,Create Date,RetractedClass,S1,S2,S3,S4,S5,AvgSim
24771221,30406026,miR-182 and miR-183 Promote Cell Proliferation and Invasion by Targeting FOXO1 in Mesothelioma,No,No,"Forkhead box O1 (FOXO1), a member of forkhead family, has been reported to regulate carcinogenesis by activating or suppressing the expression of its target genes in various human malignant tumors (19). Aberrant FOXO1 expression has been demonstrated in gastric cancer (20), lung cancer (21), osteosarcoma (22), pancreas cancer (23), and glioblastoma (24)*. In addition, FOXO1 has been recognized as a potential target of certain microRNAs, including miR-182 and miR-183, in endometrial cancer (25).",Introduction,NotHarmful,No,1,Front Oncol,2018,11/9/2018,NotRetracted,0.7477017,0.7298548,0.6623778,0.7228373,0.73020554,0.718595428
24771221,26960689,Low level of FOXL1 indicates a worse prognosis for gastric cancer patients,No,No,"Similarly, FOXQ1 also acts as an oncogene and promotes cell proliferation and metastasis in esophageal cancer [16]. Similarly, nuclear translocation of FOXO1 can promote cell metastasis in glioblastoma [17]. In contrast, FOXD3 acts as a tumor suppressor, suppressing tumor growth and angiogenesis in nonsmall cell lung cancer [18].",Introduction,NotHarmful,Yes,1,Tumour Biol,2016,3/11/2016,NotRetracted,0.7348233,0.73481125,0.6843549,0.7675325,0.71846956,0.727998302
24771221,25380967,PDGF receptor alpha inhibition induces apoptosis in glioblastoma cancer stem cells refractory to anti-Notch and anti-EGFR treatment,No,No,"1: In order to assess the invasion capabilities of CSC and the effects of the inhibitors either alone or in combination a matrigel invasion assay was performed. To invade the cells need an active process that involves cell motility and extracellular matrix proteolysis, and for this reason we monitored the expression of MMP-9, matrix metallopeptidase-9, which belongs to MMP family involved in tumor progression, including invasion and cancer metastasis [28]*. Cell invasion ability was assessed in cases 1, 2 and 3 in absence or presence of growth factors (GF). 2:The Notch1 pathway was investigated in more detail in three cases and surprisingly we found that Notch1 target Hes1 protein was not down modulated by Notch inhibition. This finding may be explained by the results of Wall et al. [28], who demonstrated that sonic hedgehog (shh)-driven stabilization of Hes1 was independent of Notch signaling and required the Shh effector Gli2. ",Other,NotHarmful,No,1,Mol Cancer,2014,11/9/2014,NotRetracted,0.6829139,0.72015387,0.6128882,0.7486608,0.7117306,0.695269474
24771221,32973162,Multi-omics analysis identifies FoxO1 as a regulator of macrophage function through metabolic reprogramming,No,No,"1:The transcription factor Forkhead Box Protein 1 (FoxO1) is a member of the Forkhead Box family and plays significant roles in a series of cellular processes, including inflammation, metabolism, and signal transduction27–30. In tumor cells, FoxO1 is generally considered as a tumor suppressor and upregulation of FoxO1 is beneficial in several types of cancer31–33*. In macrophages, FoxO1 seems to have various functions. 2:In summary, our study shows that FoxO1 regulates anti-tumor effect (including phagocytosis) of macrophages through changing the metabolic hemostasis. This may explain why the upregulation of FoxO1 is beneficial in several types of cancer31–33*, i.e., FoxO1 deficiency drives resting macrophages to an M2-like/TAM-like phenotype and promotes melanoma growth, as proved by our previous work38.",Other,NotHarmful,No,>1,Cell Death Dis,2020,9/25/2020,NotRetracted,0.6878998,0.7088884,0.6565226,0.71621007,0.7113647,0.696177114
24771221,25519686,Inhibition of progression of PanIN through antagonizing EGFR,No,No,"The epidermal growth factor receptor (EGFR) belongs to the ErbB family of receptor tyrosine kinases (RTK) [6–12]*. EGFRs are activated after they are bound with peptide growth factors of the EGF-family of proteins [6–12]*. EGFR signaling is well-known for its involvement in the pathogenesis and progression of different cancers [6–12]*. Of note, EGFR signaling has been shown to play a critical role in the pancreatic embryogenesis and postnatal growth [13], as well as in the tumorigenesis of pancreatic cancers [14–19]. ",Introduction,NotHarmful,No,>1,Tumour Biol,2015,12/19/2014,NotRetracted,0.64569193,0.6867299,0.6305716,0.72424316,0.7104335,0.679534018
24771221,34895065,Long noncoding RNA matrilineal expression gene 3 inhibits hepatocellular carcinoma progression by targeting microRNA-5195-3p and regulating the expression of forkhead box O1,No,Yes,"FOXO1 was identified to be a direct target of miR-5195-3p in HCC cells. FOXO1 belongs to a conserved family of transcription factors, the FOX family [29–31]. FOXO1 transcription factors are important intracellular transcription factors whose activity is involved in cell proliferation, differentiation, stress response, and metabolism [32–34]*. In tumor studies, abnormal expression of FOXO1 has been associated with tumorigenesis, tumor-induced angiogenesis and metastasis, tumor cell tolerance to stress, and tumor cell metabolic homeostasis [35,36].",Discussion,NotHarmful,No,1,Bioengineered,2021,12/13/2021,NotRetracted,0.64829814,0.7166556,0.6297455,0.78112626,0.70334715,0.69583453
24771221,27080594,Isorhapontigenin (ISO) Inhibits Invasive Bladder Cancer Formation In Vivo and Human Bladder Cancer Invasion In Vitro by Targeting STAT1/FOXO1 Axis,No,No,"Moreover, FOXO1 has been found to inhibit prostate cancer cell migration and invasion through binding to Runtdomain containing protein Runx2 and repress its transcriptional activity (12). Expression of a constitutive nuclear active form of FOXO1 significantly inhibited matrix metalloproteinase-9 (MMP-9) activation induced by epidermal growth factor (EGF) and prevented cell invasion in glioblastoma cells (13)*. Although the mRNA and protein expression level of FOXO1 are found to be down-regulated in high grade and invasive BC, nothing is known about the role, mechanisms and the upstream regulator/downstream effectors of FOXO1 in human BC invasion (14). ",Introduction,NotHarmful,Yes,1,Cancer Prev Res (Phila),2016,4/16/2016,NotRetracted,0.7983516,0.7996371,0.57045907,0.8355907,0.70238423,0.74128454
24771221,29238041,FoxO1 is a regulator of MHC-II expression and anti-tumor effect of tumor-associated macrophages,No,No,It has been reported that upregulation of FoxO1 in several types of cancer was beneficial [38–40]*. But little is known about the regulatory effects of FoxO1 on the overall transcriptional profile in TAMs.,Discussion,NotHarmful,No,1,Oncogene,2018,12/15/2017,NotRetracted,0.7492802,0.71539694,0.641267,0.6510532,0.6918468,0.689768828
24771221,25623117,Interplay of miR-21 and FoxO1 modulates growth of pancreatic ductal adenocarcinoma,No,No,"To determine whether inhibition of FoxO1 nuclear retention mediated by miR-21 is the direct cause for the increases in cell growth of PDAC, we further transduced the miR-21-overexpressing PANC-1 cells (PD-miR-21) with a sustained nuclear FoxO1 expressing plasmid, as has been previously described [9–11]. The transduced cells were termed as PD-miR-21-nFoxO1 cells, which expressed high levels of nuclear FoxO1, which cannot be phosphorylated due to a defect on phosphorylation site (Fig. 3a, b).",Result,Harmful,No,1,Tumour Biol,2015,1/28/2015,NotRetracted,0.68793714,0.7647544,0.60827947,0.93445987,0.67680824,0.734447824
24771221,29426928,LAMB3 mediates metastatic tumor behavior in papillary thyroid cancer by regulating c-MET/Akt signals,No,No,"radation and remodeling, cell proliferation, apoptosis, cell invasion/migration, and morphological changes28*. PI3K/Akt inhibition has been shown to block sonic hedgehog pathway-induced EMT, matrix MMP9 activity, and lymphangiogenesis, reducing tumor invasiveness and metastasis29. Te expression of a constitutive nuclear form of FOXO1, which is inhibited by Akt signaling, signifcantly inhibited the MMP9 activation induced by EGF30. In this study, we confrmed that LAMB3 regulates EMT-related proteins and MMP9 via activation of Akt signaling.",Discussion,NotHarmful,Yes,1,Sci Rep,2018,2/11/2018,NotRetracted,0.74982226,0.7807619,0.55801535,0.8503396,0.6707587,0.721939562
24771221,33391419,"The essential role of long non-coding RNA GAS5 in glioma: interaction with microRNAs, chemosensitivity and potential as a biomarker",No,No,"Trifluoperazine (TFP) regulated FOXO1, increasing the amount of FOXO1 in the nucleus, and thus increasing the cytotoxicity of doxorubicin [41]. It had also been reported that a combination of EGFR and EGF activated the PI3K/Akt signaling pathway, induced FOXO1 nuclear exclusion, and promoted the metastasis of glioblastoma [42]*. These observations indicate that FOXO1 nuclear leakage may be involved in chemoresistance in glioma (Figure 2A).",Other,NotHarmful,Yes,1,J Cancer,2021,1/4/2021,NotRetracted,0.6134171,0.69531876,0.68727237,0.7616841,0.6661105,0.684760566
24771221,31750256,STAT3 Promotes Invasion and Aerobic Glycolysis of Human Oral Squamous Cell Carcinoma via Inhibiting FoxO1,No,No,"As a downstream protein of STAT3 signaling pathway, FoxO1 has been demonstrated to play important biological roles as tumor suppressor in regulating cancer cell growth, apoptosis, DNA damage repair, and so on (19, 20)*. Emerging researches have also showed that FoxO1 is a critical glucose metabolism-related protein (21). ",Other,NotHarmful,No,1,Front Oncol,2019,11/22/2019,NotRetracted,0.57149595,0.6190918,0.5342916,0.70403326,0.60793006,0.607368534
24771221,25596089,Retracted: Insulin-like growth factor 1 promotes growth of gastric cancer by inhibiting foxo1 nuclear retention,No,No,"1:AGS cells were transfected with a constitutively nuclear FoxO1-expressing plasmid, as has been previously described [10, 11, 15]*. The transfected cells were termed as AGSnFoxO1. AGS-nFoxO1 expressed high levels of nuclear FoxO1, which cannot be phosphorylated due to a defect on phosphorylation site. 2:We found that IGF-1 induced nuclear exclusion of FoxO1 in AGS cells (Fig. 4a), suggesting a possibility of this regulatory axis to be responsible for the IGF-1-induced GC cell growth. To prove it, we transduced the AGS cells with a sustained nuclear FoxO1 expressing plasmid, as has been previously described [10, 11, 15]*. The transduced cells were termed as AGS-nFoxO1 cells. AGS-nFoxO1 expressed high levels of nuclear FoxO1, which cannot be phosphorylated due to a defect on phosphorylation site (Fig. 4a).",M&M + Result,Harmful,No,>1,Tumour Biol,2015,1/18/2015,Retracted,,,,,,
24771221,26511969,Retracted: MiR-429 induces apoptosis of glioblastoma cell through Bcl-2,No,No,"Glioblastoma multiforme (GBM) is a common malignant glioma and often occurs more frequently than other types of primary central nervous system tumors [1–6]*. Even with ag- gressive treatment using combined surgery, radiation, and chemotherapy, the patients’ survival is normally less than 1 year ]. Temozolomide has shown promise in treating GBM and other malignant tumors [7–11].",Introduction,NotHarmful,No,1,Tumour Biol,2015,10/30/2015,Retracted,,,,,,
24771221,26219892,Retracted:Ginsenoside Rh2 inhibits invasiveness of glioblastoma through modulation of VEGF-A,No,No,"Glioblastoma multiforme (GBM) is a highly malignant cancer originated from the human brain, and so far the therapeutic outcome of GBM is extremely poor, even though combining neurosurgical resection, radiotherapy, and chemotherapy has been generally applied [1–5]*. Hence, effective prevention of the cancer cell invasion is substantially critical for controlling the growth and deterioration of GBM.",Introduction,NotHarmful,No,1,Tumour Biol,2015,7/30/2015,Retracted,,,,,,
24771221,26150340,Retracted: Histone deacetylase 6 promotes growth of glioblastoma through inhibition of SMAD2 signaling,No,No,"Glioblastoma multiforme (GBM) is one of the most malignant tumors with a dismal prognosis despite the best standard therapy including surgery and radio- and chemotherapy [4–6]*. The GBM cells are highly anaplastic and heterogeneous, with an ability to migrate along fiber tracts and blood vessels to disseminate in the brain [4–6]*. The tumorigenesis of GBM has been extensively studied in the past decade, with new evidence highlighting HDACs as a promising therapeutic target for GBM [7–11]. ",Introduction,NotHarmful,No,>1,Tumour Biol,2015,7/8/2015,Retracted,,,,,,
24771221,24867100,Retracted: MiRNA-181c inhibits EGFR-signaling-dependent MMP9 activation via suppressing Akt phosphorylation in glioblastoma,No,No,"bined therapy only achieves extremely low patient survival. Since glioblastoma localizes in the central nervous system, its growth and invasiveness to peripheral tissue appear to be extremely severe [1]. Thus, studies for understanding the molecular basis of glioblastoma metastasis have potential importance. Most glioblastoma expressed high levels of epidermal growth factor receptor (EGFR) [2, 3]. The EGFR signaling is involved in the proliferation and differentiation of various cell types. ",Introduction,NotHarmful,No,1,Tumour Biol,2014,5/29/2014,Retracted,,,,,,
24771221,24771221,Inhibition of FoxO1 nuclear exclusion prevents metastasis of glioblastoma,,,,,,,,Tumour Biol,2014,4/29/2014,NotRetracted,,,,,,
